Names	total	elements
Camelina Cherry Cucumber Kiwi Tomato	509	R01655_c
		R03051_c
		R02873_c
		R00342_c
		R05492_c
		R03139_c
		R04007_c
		R01528_c
		R00766_c
		R00135_c
		R04952_c
		R03527_c
		R04004_c
		R00009_x
		R01398_m
		R00801_c
		R04784_c
		R00742_p
		R02082_c
		R00209_m
		R01512_c
		R01280_x
		R01086_c
		R03362_c
		R00702_c
		R04204_c
		R01303_c
		R05593_c
		R04027_c
		R07678_c
		R04998_c
		R04300_c
		R08158_c
		R04764_c
		R03648_c
		R05030_c
		R04771_c
		R04440_c
		R00115_c
		R04983_c
		R01768_c
		R02112N_p
		R07700_c
		R06402_c
		R06261_c
		R07892_c
		R00588_x
		R01061_p
		R01220_c
		R06405_c
		R04751N_x
		R00342_p
		R06853_c
		R01000_c
		R08281_c
		R06925_c
		R04786_c
		R00047_c
		R06920_c
		R04910_c
		R02362_c
		R04990_c
		R01070N_c
		R01613_c
		R01061_c
		R01940_c
		R00179_c
		R02889_c
		R01523_p
		R01933_c
		R01324_c
		R04065_c
		R02529_c
		R01771_c
		R07989_c
		R03654_c
		R07412_c
		R00586_c
		R04355_c
		R01512_p
		R05657_c
		R04957_c
		R04666_c
		R01665_c
		Ex12
		R06265_c
		R00369_c
		R06412_c
		R06027_c
		R02107_c
		R00658_p
		R07675_c
		R07768_c
		R07934_c
		R03313_c
		R02016_c
		R00508_c
		R00644_tmx
		R03601_c
		R08159_c
		R01529_c
		R02678_c
		R00945_c
		R00888_c
		R07507_c
		R01015_p
		R06927_c
		R03665_c
		R04949_c
		R05068_c
		R01078_c
		R06960_c
		TCM8
		R08228_c
		R06859_c
		R00904_c
		R00669_c
		R00093_p
		R00985_c
		R04968_p
		R01518_p
		R00286_c
		R07942_c
		R03469_c
		R06415_c
		R04095_c
		R00114_c
		R04621_c
		R00480_c
		R00291_c
		R08379_c
		R02017_c
		R04506_c
		R04968_c
		R06867_c
		R02110_p
		R03658N_c
		R07950_c
		R02722_c
		R06401_c
		R04801_c
		R04001_c
		R00206_p
		R03877_c
		R01159_c
		R08364_c
		R07764_c
		R05884_c
		R00945_m
		R02613_c
		TCM19
		R04937_c
		R02736_c
		R01123_c
		R02433_c
		R00905_c
		R01724_c
		R07887_c
		R01398_c
		R00658_c
		TCP14
		R06266_c
		R05376_c
		R02221_c
		R01310_c
		R06942_c
		R03777N_x
		R01523_c
		R00948_p
		R00355_c
		R04224_c
		R00899_c
		R02957_c
		R03012_c
		R00342_m
		R01641_c
		R06263_c
		R02018_c
		R02778_c
		R01624_c
		R04109_c
		R01213_c
		R03990N_x
		R00200_c
		R02024_c
		R02051_c
		R05341_c
		R08383_c
		R04993_c
		R01641_p
		R01752_c
		R03918_c
		R03652N_c
		R00219_c
		R00529_c
		R01184_c
		R05976_c
		R04726_p
		R04008_c
		R02952_c
		R07979_c
		R01224_c
		R02731_c
		R04426_c
		R02984_c
		R03659N_c
		R04787_c
		R06404_c
		R00694_c
		R05033_c
		R02111_p
		R01600_c
		R00883_c
		R00512_c
		R07440_c
		R01073_c
		R06907_c
		R06264_c
		R03050_c
		R00578_c
		R05395_c
		R01830_p
		R03104_c
		R00261_c
		R07448_c
		R04726_c
		R02382_c
		R00258_p
		R08157_c
		R04754N_x
		R01900_x
		R07977_c
		R08163_c
		R00943_c
		R00896_c
		R07263_c
		TCM2
		R07761_c
		R07697_c
		R00631_c
		R07978_c
		R01769_c
		R04223_c
		R02596_c
		R04929_c
		R02671_c
		R04805_c
		R00026_c
		R01177_x
		R01457_c
		R03824_c
		R03132_c
		R00267_m
		R00238_x
		R08235_c
		R00475_x
		R00405_m
		R04137_c
		R02874_c
		R07888_c
		R00889_c
		R03656_c
