Bit_Score,Nb genes,Nb reactions
0,18804,1169
10,18804,1169
20,18804,1169
30,18804,1169
40,17068,1169
50,16048,1169
60,15414,1169
70,14848,1169
80,14429,1169
90,14152,1169
100,13821,1169
110,13548,1169
120,13256,1169
130,12976,1169
140,12777,1169
150,12594,1169
160,12332,1169
170,12082,1169
180,11877,1169
190,11662,1169
200,11410,1169
210,11198,1169
220,10869,1169
230,10412,1168
240,10002,1167
250,9669,1167
260,9406,1166
270,9249,1165
280,9090,1164
290,8971,1162
300,8849,1162
310,8724,1162
320,8532,1162
330,8355,1162
340,8229,1157
350,8107,1156
360,7941,1153
370,7803,1150
380,7659,1147
390,7539,1145
400,7434,1144
410,7292,1136
420,7161,1123
430,7026,1120
440,6864,1116
450,6703,1085
460,6507,1067
470,6410,1062
480,6282,1056
490,6163,1038
500,6023,1033
510,5904,1032
520,5768,1019
530,5660,1016
540,5568,1006
550,5484,992
560,5404,989
570,5292,970
580,5203,961
590,5126,958
600,4987,943
610,4890,937
620,4789,929
630,4668,923
640,4582,918
650,4452,914
660,4323,894
670,4237,890
680,4112,885
690,3996,872
700,3912,849
710,3793,832
720,3703,821
730,3617,812
740,3533,807
750,3469,788
760,3415,773
770,3361,752
780,3287,733
790,3213,719
800,3145,700
810,3061,682
820,2987,665
830,2902,652
840,2829,629
850,2759,624
860,2681,612
870,2606,609
880,2531,576
890,2471,571
900,2418,557
910,2346,553
920,2313,547
930,2226,510
940,2169,487
950,2082,468
960,2026,462
970,1975,455
980,1902,435
990,1851,426
1000,1792,420
