Bit_Score,Nb genes,Nb reactions
0,8037,1169
10,8037,1169
20,8037,1169
30,7991,1169
40,6777,1169
50,6301,1168
60,5933,1168
70,5607,1168
80,5338,1168
90,5119,1168
100,4921,1168
110,4721,1168
120,4551,1168
130,4414,1168
140,4304,1168
150,4181,1162
160,4070,1162
170,3929,1161
180,3750,1161
190,3532,1160
200,3310,1156
210,3092,1156
220,2905,1154
230,2740,1152
240,2615,1145
250,2516,1142
260,2431,1138
270,2360,1130
280,2293,1118
290,2236,1117
300,2177,1102
310,2131,1092
320,2057,1055
330,1998,1044
340,1947,1036
350,1889,1031
360,1831,1021
370,1777,1002
380,1734,988
390,1670,970
400,1612,947
410,1553,938
420,1501,928
430,1465,920
440,1412,901
450,1363,889
460,1328,874
470,1281,858
480,1240,841
490,1212,835
500,1176,832
510,1137,810
520,1101,802
530,1071,797
540,1044,793
550,1014,762
560,974,747
570,950,739
580,918,731
590,885,707
600,858,697
610,832,690
620,807,667
630,782,660
640,754,632
650,723,615
660,693,603
670,674,598
680,650,581
690,629,561
700,615,531
710,596,525
720,573,508
730,559,494
740,537,478
750,520,463
760,506,450
770,487,433
780,475,428
790,454,406
800,439,403
810,420,397
820,397,354
830,383,325
840,374,321
850,365,318
860,359,317
870,345,309
880,331,301
890,316,283
900,306,263
910,291,258
920,280,236
930,275,235
940,264,233
950,258,231
960,250,221
970,238,204
980,231,199
990,224,196
1000,217,195
