Bit_Score,Nb genes,Nb reactions
0,4959,1162
10,4959,1162
20,4959,1162
30,4918,1162
40,4007,1157
50,3744,1155
60,3602,1155
70,3462,1155
80,3333,1149
90,3203,1149
100,3104,1149
110,2972,1149
120,2866,1149
130,2780,1148
140,2707,1148
150,2641,1144
160,2565,1140
170,2478,1139
180,2419,1139
190,2344,1122
200,2274,1121
210,2186,1120
220,2098,1118
230,2006,1118
240,1949,1110
250,1878,1109
260,1829,1094
270,1784,1078
280,1734,1045
290,1691,1033
300,1656,1023
310,1621,1021
320,1581,1013
330,1536,1008
340,1498,1004
350,1465,1000
360,1424,991
370,1378,972
380,1334,949
390,1290,928
400,1252,905
410,1208,902
420,1167,893
430,1130,860
440,1098,841
450,1058,826
460,1027,819
470,993,810
480,965,791
490,934,778
500,914,772
510,892,765
520,868,759
530,847,742
540,826,727
550,804,715
560,780,697
570,757,690
580,735,670
590,725,662
600,707,647
610,688,630
620,666,622
630,645,615
640,624,589
650,614,582
660,594,578
670,569,552
680,551,531
690,535,507
700,517,494
710,502,489
720,487,485
730,476,470
740,451,444
750,436,431
760,426,420
770,416,409
780,397,395
790,387,378
800,371,376
810,355,364
820,340,323
830,331,313
840,317,287
850,304,255
860,293,250
870,279,244
880,270,243
890,260,240
900,245,231
910,237,222
920,229,216
930,222,207
940,216,201
950,210,188
960,203,182
970,197,175
980,192,174
990,189,174
1000,183,168
