Bit_Score,Nb genes,Nb reactions
0,7267,1169
10,7267,1169
20,7267,1169
30,7260,1169
40,6201,1165
50,5876,1165
60,5665,1165
70,5425,1164
80,5225,1163
90,5080,1163
100,4947,1163
110,4788,1163
120,4671,1163
130,4591,1162
140,4509,1162
150,4434,1161
160,4338,1161
170,4242,1160
180,4135,1159
190,4013,1156
200,3876,1154
210,3703,1153
220,3555,1147
230,3411,1147
240,3274,1144
250,3164,1142
260,3076,1141
270,3012,1125
280,2951,1118
290,2894,1113
300,2844,1106
310,2787,1096
320,2721,1071
330,2649,1064
340,2578,1054
350,2538,1044
360,2490,1034
370,2436,1032
380,2389,1029
390,2331,1009
400,2262,980
410,2203,968
420,2134,965
430,2083,955
440,2021,947
450,1956,940
460,1893,925
470,1843,908
480,1791,893
490,1748,886
500,1704,874
510,1658,862
520,1623,851
530,1577,828
540,1539,812
550,1497,804
560,1459,789
570,1415,771
580,1373,762
590,1340,748
600,1294,712
610,1247,695
620,1208,688
630,1175,668
640,1141,657
650,1105,629
660,1075,615
670,1037,607
680,1000,592
690,968,577
700,932,560
710,906,528
720,886,521
730,864,499
740,833,494
750,803,479
760,774,461
770,753,455
780,730,435
790,700,427
800,678,417
810,660,414
820,640,396
830,625,366
840,603,360
850,583,353
860,559,329
870,534,306
880,505,292
890,484,268
900,466,260
910,441,250
920,421,246
930,410,241
940,395,238
950,386,233
960,378,231
970,365,211
980,351,200
990,343,198
1000,331,193
