Bit_Score,Nb genes,Nb reactions
0,14167,1166
20,14167,1166
40,14167,1166
60,13666,1165
80,13087,1165
100,12629,1165
120,12200,1165
140,11823,1165
160,11429,1165
180,11047,1165
200,10728,1165
220,10314,1165
240,9537,1163
260,8990,1162
280,8720,1160
300,8537,1158
320,8240,1158
340,7966,1153
360,7707,1149
380,7461,1142
400,7243,1139
420,6994,1118
440,6711,1113
460,6370,1065
480,6149,1054
500,5901,1031
520,5650,1017
540,5463,1004
560,5315,989
580,5121,961
600,4925,943
620,4732,929
640,4533,918
660,4278,894
680,4072,885
700,3873,849
720,3671,821
740,3505,807
760,3391,773
780,3264,733
800,3123,700
820,2969,665
840,2811,629
860,2663,612
880,2513,576
900,2403,557
920,2298,547
940,2157,487
960,2015,462
980,1891,435
1000,1782,420
1020,1647,394
1040,1533,364
1060,1452,349
1080,1373,325
1100,1313,319
1120,1218,277
1140,1180,270
1160,1133,255
1180,1095,245
1200,1052,231
1220,998,219
1240,974,216
1260,933,206
1280,911,203
1300,897,203
1320,868,199
1340,850,186
1360,826,182
1380,801,152
1400,785,151
1420,767,149
1440,746,147
1460,719,145
1480,693,139
1500,676,134
1520,647,132
1540,616,123
1560,599,115
1580,580,114
1600,561,114
1620,535,114
1640,519,113
1660,496,105
1680,481,96
1700,472,95
1720,461,95
1740,454,94
1760,444,94
1780,440,94
1800,420,93
1820,411,91
1840,396,89
1860,378,84
1880,358,81
1900,348,80
1920,325,78
1940,303,77
1960,290,77
1980,271,73
2000,262,70
