Bit_Score,Nb genes,Nb reactions
0,4638,1154
20,4638,1154
40,4638,1154
60,4404,1148
80,4120,1142
100,3939,1142
120,3754,1142
140,3607,1142
160,3451,1141
180,3210,1139
200,2853,1134
220,2554,1132
240,2337,1123
260,2196,1115
280,2091,1098
300,1992,1081
320,1888,1036
340,1797,1019
360,1701,1004
380,1618,976
400,1501,935
420,1405,916
440,1326,889
460,1259,864
480,1178,833
500,1117,824
520,1047,794
540,995,787
560,932,740
580,878,724
600,821,692
620,773,662
640,725,628
660,666,599
680,625,577
700,591,527
720,551,504
740,517,474
760,489,446
780,459,424
800,424,399
820,383,350
840,360,317
860,346,313
880,319,297
900,295,259
920,269,232
940,253,229
960,241,217
980,225,198
1000,211,194
1020,199,188
1040,186,184
1060,174,176
1080,167,170
1100,161,159
1120,157,157
1140,144,146
1160,136,142
1180,129,141
1200,124,116
1220,119,114
1240,114,114
1260,110,113
1280,107,100
1300,103,98
1320,99,97
1340,94,88
1360,91,86
1380,84,80
1400,81,79
1420,73,76
1440,72,75
1460,69,74
1480,65,70
1500,61,68
1520,58,67
1540,54,66
1560,51,66
1580,49,65
1600,45,65
1620,42,65
1640,42,65
1660,39,58
1680,33,57
1700,33,57
1720,32,54
1740,29,54
1760,26,53
1780,22,41
1800,22,41
1820,21,40
1840,19,40
1860,19,40
1880,18,37
1900,17,36
1920,17,36
1940,16,35
1960,14,34
1980,14,34
2000,14,34
