Bit_Score,Nb genes,Nb reactions
0,3153,1129
20,3153,1129
40,3153,1129
60,3037,1129
80,2884,1122
100,2724,1122
120,2556,1122
140,2446,1121
160,2327,1110
180,2202,1108
200,2067,1105
220,1933,1098
240,1819,1093
260,1727,1079
280,1643,1029
300,1573,1007
320,1503,998
340,1426,987
360,1359,974
380,1277,934
400,1199,890
420,1120,878
440,1054,828
460,989,803
480,929,767
500,881,748
520,836,732
540,797,701
560,754,673
580,709,649
600,683,634
620,645,609
640,604,577
660,576,566
680,533,519
700,499,476
720,471,467
740,435,426
760,412,408
780,386,384
800,360,365
820,329,312
840,306,276
860,283,239
880,261,232
900,238,220
920,223,205
940,210,190
960,198,171
980,187,163
1000,178,157
1020,173,153
1040,166,150
1060,158,144
1080,147,136
1100,147,136
1120,142,135
1140,138,125
1160,133,121
1180,126,112
1200,120,112
1220,115,111
1240,110,101
1260,103,99
1280,101,97
1300,94,95
1320,88,91
1340,84,89
1360,81,87
1380,77,84
1400,77,84
1420,72,83
1440,70,82
1460,67,73
1480,64,67
1500,62,65
1520,61,65
1540,61,65
1560,57,61
1580,55,59
1600,52,58
1620,46,51
1640,46,51
1660,43,48
1680,41,47
1700,40,46
1720,38,46
1740,35,45
1760,32,45
1780,29,43
1800,28,42
1820,27,42
1840,25,42
1860,24,41
1880,22,41
1900,21,38
1920,21,38
1940,20,38
1960,19,37
1980,18,35
2000,18,35
