Bit_Score,Nb genes,Nb reactions
0,4866,1139
20,4866,1139
40,4866,1139
60,4637,1136
80,4366,1129
100,4130,1126
120,3922,1121
140,3784,1119
160,3524,1116
180,3267,1109
200,3026,1101
220,2792,1081
240,2622,1061
260,2495,1028
280,2387,997
300,2289,967
320,2176,951
340,2072,941
360,1966,906
380,1861,896
400,1752,868
420,1649,854
440,1563,841
460,1464,817
480,1390,794
500,1314,778
520,1247,752
540,1184,738
560,1118,715
580,1062,683
600,994,628
620,932,588
640,874,546
660,830,513
680,766,492
700,716,455
720,681,430
740,642,409
760,606,379
780,561,361
800,522,342
820,494,312
840,465,311
860,437,303
880,391,267
900,358,240
920,322,221
940,306,212
960,291,196
980,280,188
1000,265,179
1020,255,176
1040,246,172
1060,238,169
1080,229,167
1100,207,158
1120,196,150
1140,185,145
1160,175,111
1180,163,107
1200,156,100
1220,143,99
1240,139,99
1260,131,97
1280,127,96
1300,122,89
1320,118,80
1340,113,77
1360,110,76
1380,106,76
1400,101,74
1420,98,73
1440,92,70
1460,85,65
1480,83,61
1500,77,60
1520,72,59
1540,65,55
1560,60,53
1580,59,53
1600,57,53
1620,54,46
1640,52,45
1660,48,44
1680,45,44
1700,43,43
1720,42,43
1740,39,39
1760,34,39
1780,30,38
1800,30,38
1820,29,37
1840,29,37
1860,28,37
1880,26,36
1900,23,36
1920,21,36
1940,21,36
1960,19,34
1980,18,34
2000,18,34
