Bit_Score,Nb genes,Nb reactions
0,4446,1153
20,4446,1153
40,4446,1153
60,4271,1152
80,4059,1152
100,3866,1152
120,3675,1151
140,3552,1150
160,3395,1150
180,3160,1147
200,2938,1144
220,2734,1143
240,2554,1137
260,2414,1134
280,2313,1082
300,2231,1066
320,2134,1053
340,2034,1043
360,1935,1028
380,1801,1007
400,1698,986
420,1586,957
440,1468,928
460,1368,910
480,1278,887
500,1198,848
520,1141,822
540,1087,804
560,1030,764
580,975,745
600,917,713
620,858,677
640,797,638
660,753,614
680,716,583
700,674,539
720,633,524
740,581,494
760,537,463
780,512,438
800,474,410
820,439,365
840,420,342
860,397,312
880,365,278
900,344,268
920,313,253
940,295,240
960,265,223
980,253,211
1000,239,204
1020,228,198
1040,216,193
1060,203,184
1080,191,174
1100,185,173
1120,177,172
1140,168,166
1160,163,159
1180,157,130
1200,151,128
1220,143,127
1240,136,126
1260,128,116
1280,123,105
1300,118,103
1320,111,101
1340,107,101
1360,100,99
1380,93,97
1400,87,92
1420,81,83
1440,78,83
1460,78,83
1480,75,81
1500,73,75
1520,70,73
1540,65,72
1560,63,70
1580,63,70
1600,58,63
1620,57,63
1640,54,62
1660,52,62
1680,49,62
1700,47,62
1720,46,62
1740,41,58
1760,38,57
1780,36,57
1800,34,56
1820,32,56
1840,31,55
1860,30,44
1880,26,41
1900,23,38
1920,22,38
1940,21,37
1960,21,37
1980,21,37
2000,18,34
