Score,Nb genes,Nb reactions
0,7028,1150
50,7028,1150
100,7028,1150
150,7028,1150
200,7028,1150
250,7028,1150
300,7028,1150
350,7028,1150
400,7028,1150
450,7028,1150
500,7028,1150
550,7028,1150
600,7028,1150
650,7028,1150
700,7028,1150
750,7021,1150
800,6962,1149
850,6867,1149
900,6774,1141
950,6625,1137
1000,6485,1131
1050,6346,1122
1100,6214,1108
1150,6038,1079
1200,5824,1053
1250,5660,1046
1300,5462,1023
1350,5271,1009
1400,5140,995
1450,5010,967
1500,4863,952
1550,4691,931
1600,4522,920
1650,4350,909
1700,4132,887
1750,3966,880
1800,3777,851
1850,3601,822
1900,3442,805
1950,3338,774
2000,3223,739
2050,3097,712
2100,2951,669
2150,2802,643
2200,2682,621
2250,2538,607
2300,2408,570
2350,2300,552
2400,2188,512
2450,2053,475
2500,1951,457
2550,1824,428
2600,1714,417
2650,1591,386
2700,1486,364
2750,1409,340
2800,1332,325
2850,1263,316
2900,1183,277
2950,1151,270
3000,1105,255
3050,1068,245
3100,1033,231
3150,979,220
3200,954,216
3250,921,207
3300,892,205
3350,881,203
3400,854,200
3450,833,186
3500,814,182
3550,786,176
3600,777,152
3650,758,149
3700,735,148
3750,710,146
3800,689,141
3850,664,138
3900,643,133
3950,619,132
4000,597,123
4050,585,114
4100,569,114
4150,551,114
4200,530,114
4250,513,113
4300,492,105
4350,479,96
4400,470,95
4450,459,95
4500,452,94
4550,443,94
4600,439,94
4650,423,94
4700,413,93
4750,401,89
4800,381,84
4850,364,83
4900,354,81
4950,341,80
5000,308,77
