Score,Nb genes,Nb reactions
0,1494,1027
50,1494,1027
100,1494,1027
150,1494,1027
200,1494,1027
250,1494,1027
300,1494,1027
350,1494,1027
400,1494,1027
450,1494,1027
500,1494,1027
550,1494,1027
600,1494,1027
650,1494,1027
700,1494,1027
750,1493,1025
800,1467,1017
850,1420,980
900,1381,960
950,1331,951
1000,1275,932
1050,1232,891
1100,1188,879
1150,1138,853
1200,1100,829
1250,1058,807
1300,1014,797
1350,965,781
1400,924,756
1450,874,726
1500,822,700
1550,777,681
1600,733,652
1650,688,618
1700,635,595
1750,598,573
1800,569,540
1850,537,502
1900,504,473
1950,475,449
2000,448,427
2050,419,401
2100,381,355
2150,357,320
2200,343,312
2250,323,301
2300,296,277
2350,273,252
2400,258,229
2450,243,225
2500,226,200
2550,213,193
2600,202,191
2650,192,188
2700,182,184
2750,170,174
2800,162,165
2850,157,158
2900,154,157
2950,139,146
3000,132,142
3050,126,141
3100,121,116
3150,117,115
3200,113,114
3250,107,113
3300,105,109
3350,101,98
3400,97,97
3450,95,89
3500,90,88
3550,87,86
3600,80,80
3650,76,79
3700,72,76
3750,71,75
3800,66,72
3850,62,70
3900,58,67
3950,56,66
4000,52,66
4050,49,65
4100,48,65
4150,45,65
4200,42,65
4250,42,65
4300,38,58
4350,33,57
4400,33,57
4450,32,54
4500,29,54
4550,26,53
4600,22,41
4650,22,41
4700,22,41
4750,20,40
4800,19,40
4850,18,37
4900,17,36
4950,17,36
5000,17,36
