Score,Nb genes,Nb reactions
0,1720,955
50,1720,955
100,1720,955
150,1720,955
200,1720,955
250,1720,955
300,1720,955
350,1720,955
400,1720,955
450,1720,955
500,1720,955
550,1720,955
600,1720,955
650,1720,955
700,1720,955
750,1718,955
800,1684,931
850,1643,918
900,1592,887
950,1525,872
1000,1466,862
1050,1411,831
1100,1368,825
1150,1314,808
1200,1260,791
1250,1215,766
1300,1166,754
1350,1122,733
1400,1068,720
1450,1021,699
1500,976,673
1550,919,621
1600,859,577
1650,814,542
1700,776,512
1750,718,489
1800,680,462
1850,646,430
1900,616,411
1950,582,389
2000,548,369
2050,508,351
2100,488,338
2150,461,312
2200,434,307
2250,398,276
2300,359,249
2350,326,230
2400,306,221
2450,287,200
2500,278,196
2550,265,183
2600,253,179
2650,244,174
2700,234,170
2750,226,169
2800,217,167
2850,198,158
2900,186,150
2950,174,145
3000,166,111
3050,154,107
3100,149,100
3150,137,99
3200,131,99
3250,123,97
3300,120,97
3350,115,89
3400,111,80
3450,108,77
3500,105,77
3550,101,76
3600,95,74
3650,92,73
3700,89,71
3750,82,68
3800,79,65
3850,75,60
3900,68,59
3950,63,59
4000,59,55
4050,55,53
4100,55,53
4150,53,53
4200,50,46
4250,49,45
4300,45,44
4350,43,44
4400,41,43
4450,40,43
4500,37,39
4550,33,39
4600,30,39
4650,28,38
4700,27,37
4750,27,37
4800,26,37
4850,26,37
4900,22,36
4950,20,36
5000,20,36
