Score,Nb genes,Nb reactions
0,1642,1041
50,1642,1041
100,1642,1041
150,1642,1041
200,1642,1041
250,1642,1041
300,1642,1041
350,1642,1041
400,1642,1041
450,1642,1041
500,1642,1041
550,1642,1041
600,1642,1041
650,1642,1041
700,1642,1041
750,1639,1039
800,1608,1023
850,1568,1009
900,1522,993
950,1467,985
1000,1404,955
1050,1358,945
1100,1301,912
1150,1242,896
1200,1183,875
1250,1135,858
1300,1083,824
1350,1043,808
1400,994,788
1450,948,755
1500,903,734
1550,855,702
1600,808,669
1650,753,633
1700,714,610
1750,678,579
1800,647,541
1850,613,522
1900,569,499
1950,531,470
2000,496,441
2050,470,417
2100,441,381
2150,413,358
2200,397,338
2250,375,300
2300,345,270
2350,318,255
2400,294,242
2450,276,224
2500,254,219
2550,241,208
2600,229,204
2650,219,197
2700,207,190
2750,193,180
2800,187,174
2850,182,173
2900,171,171
2950,165,166
3000,160,159
3050,154,130
3100,148,128
3150,140,127
3200,137,127
3250,129,125
3300,123,116
3350,117,104
3400,112,102
3450,106,101
3500,97,101
3550,92,97
3600,87,95
3650,80,85
3700,77,83
3750,75,83
3800,73,81
3850,72,81
3900,69,75
3950,67,73
4000,63,72
4050,61,70
4100,59,63
4150,57,63
4200,56,63
4250,53,62
4300,51,62
4350,49,62
4400,47,62
4450,46,62
4500,41,58
4550,38,57
4600,37,57
4650,35,56
4700,32,56
4750,31,55
4800,30,44
4850,27,41
4900,24,39
4950,23,38
5000,22,38
