EValue (1e-x),Nb genes,Nb reactions
1,5518,1152
2,5518,1152
3,5518,1152
4,5518,1152
5,5518,1152
6,5518,1152
7,5518,1152
8,5518,1152
9,5517,1152
10,5515,1152
11,5514,1152
12,5514,1152
13,5514,1152
14,5514,1152
15,5514,1152
16,5514,1152
17,5514,1152
18,5514,1152
19,5514,1152
20,5512,1152
21,5511,1152
22,5511,1152
23,5511,1152
24,5511,1152
25,5511,1152
26,5511,1152
27,5511,1152
28,5511,1152
29,5511,1152
30,5510,1152
31,5510,1152
32,5510,1152
33,5510,1152
34,5509,1152
35,5509,1152
36,5509,1152
37,5509,1152
38,5503,1152
39,5503,1152
40,5503,1152
41,5499,1152
42,5497,1152
43,5493,1152
44,5492,1152
45,5492,1152
46,5492,1152
47,5490,1152
48,5487,1152
49,5487,1152
50,5486,1152
51,5486,1152
52,5486,1152
53,5486,1152
54,5483,1152
55,5482,1152
56,5481,1152
57,5474,1152
58,5474,1152
59,5474,1152
60,5473,1152
61,5473,1152
62,5473,1152
63,5472,1152
64,5467,1152
65,5464,1152
66,5460,1152
67,5460,1152
68,5456,1152
69,5456,1152
70,5456,1152
71,5456,1152
72,5456,1152
73,5456,1152
74,5456,1152
75,5443,1152
76,5434,1152
77,5431,1151
78,5424,1151
79,5422,1151
80,5419,1150
81,5418,1150
82,5416,1150
83,5414,1150
84,5410,1150
85,5405,1150
86,5402,1150
87,5398,1150
88,5397,1150
89,5390,1149
90,5383,1149
91,5380,1149
92,5375,1148
93,5372,1148
94,5370,1148
95,5366,1148
96,5349,1147
97,5343,1145
98,5341,1145
99,5339,1145
100,5329,1145
