EValue (1e-x),Nb genes,Nb reactions
1,874,821
2,874,821
3,874,821
4,874,821
5,873,821
6,873,821
7,873,821
8,873,821
9,873,821
10,873,821
11,873,821
12,873,821
13,873,821
14,873,821
15,873,821
16,873,821
17,873,821
18,873,821
19,873,821
20,873,821
21,873,821
22,873,821
23,873,821
24,873,821
25,873,821
26,873,821
27,873,821
28,873,821
29,873,821
30,873,821
31,873,821
32,873,821
33,873,821
34,873,821
35,873,821
36,872,821
37,870,821
38,870,821
39,869,821
40,868,821
41,868,821
42,868,821
43,866,821
44,866,821
45,866,821
46,866,821
47,865,821
48,864,821
49,864,821
50,864,821
51,862,821
52,862,821
53,860,821
54,860,821
55,859,821
56,858,821
57,858,821
58,856,821
59,856,821
60,855,821
61,854,821
62,853,821
63,852,821
64,852,821
65,852,821
66,852,821
67,852,821
68,852,821
69,852,821
70,849,820
71,849,820
72,849,820
73,849,820
74,848,820
75,848,820
76,848,820
77,848,820
78,847,820
79,847,820
80,847,820
81,846,820
82,845,820
83,845,820
84,844,820
85,844,820
86,844,820
87,844,820
88,844,820
89,844,820
90,842,820
91,842,820
92,839,817
93,839,817
94,839,817
95,838,817
96,836,815
97,835,813
98,835,813
99,834,811
100,834,811
