EValue (1e-x),Nb genes,Nb reactions
1,773,818
2,773,818
3,773,818
4,773,818
5,773,818
6,773,818
7,773,818
8,773,818
9,773,818
10,773,818
11,773,818
12,773,818
13,773,818
14,772,818
15,772,818
16,772,818
17,772,818
18,772,818
19,772,818
20,772,818
21,772,818
22,772,818
23,772,818
24,772,818
25,772,818
26,772,818
27,772,818
28,772,818
29,771,817
30,771,817
31,770,817
32,769,817
33,769,817
34,769,817
35,769,817
36,769,817
37,767,817
38,766,817
39,766,817
40,765,817
41,765,817
42,765,817
43,765,817
44,765,817
45,765,817
46,765,817
47,765,817
48,765,817
49,763,816
50,761,816
51,761,816
52,761,816
53,760,816
54,760,816
55,759,816
56,759,816
57,759,816
58,759,816
59,759,816
60,756,815
61,755,815
62,754,815
63,754,815
64,754,815
65,753,814
66,753,814
67,751,814
68,751,814
69,751,814
70,751,814
71,751,814
72,751,814
73,751,814
74,751,814
75,751,814
76,750,813
77,750,813
78,750,813
79,749,813
80,748,813
81,748,813
82,748,813
83,748,813
84,748,813
85,748,813
86,748,813
87,746,813
88,745,813
89,744,813
90,741,811
91,740,811
92,739,811
93,737,809
94,735,809
95,735,809
96,734,808
97,734,808
98,733,808
99,733,808
100,733,808
