EValue (1e-x),Nb genes,Nb reactions
1,641,733
2,641,733
3,640,733
4,640,733
5,640,733
6,639,733
7,639,733
8,639,733
9,639,733
10,639,733
11,639,733
12,639,733
13,639,733
14,639,733
15,639,733
16,639,733
17,639,733
18,638,733
19,638,733
20,638,733
21,638,733
22,638,733
23,638,733
24,638,733
25,638,733
26,637,733
27,637,733
28,637,733
29,637,733
30,637,733
31,637,733
32,636,733
33,636,733
34,636,733
35,636,733
36,636,733
37,636,733
38,636,733
39,636,733
40,636,733
41,636,733
42,635,733
43,635,733
44,635,733
45,634,733
46,634,733
47,634,733
48,633,733
49,633,733
50,633,733
51,632,733
52,631,733
53,630,733
54,630,733
55,630,733
56,630,733
57,629,733
58,629,733
59,628,733
60,627,733
61,626,733
62,625,733
63,625,733
64,625,733
65,625,733
66,625,733
67,625,733
68,625,733
69,623,733
70,623,733
71,623,733
72,623,733
73,621,733
74,620,733
75,620,733
76,618,713
77,618,713
78,618,713
79,618,713
80,617,713
81,617,713
82,617,713
83,617,713
84,616,713
85,614,709
86,614,709
87,613,709
88,613,709
89,613,709
90,613,709
91,613,709
92,613,709
93,610,709
94,610,709
95,609,709
96,608,709
97,608,709
98,608,709
99,608,709
100,608,709
