EValue (1e-x),Nb genes,Nb reactions
1,955,724
2,955,724
3,955,724
4,955,724
5,954,724
6,953,724
7,953,724
8,950,722
9,948,720
10,948,720
11,948,720
12,948,720
13,948,720
14,947,720
15,945,719
16,945,719
17,945,719
18,943,719
19,941,719
20,941,719
21,941,719
22,941,718
23,941,718
24,939,718
25,937,718
26,936,718
27,935,717
28,935,717
29,935,717
30,935,717
31,935,717
32,935,717
33,934,717
34,933,716
35,932,716
36,932,716
37,932,716
38,931,716
39,930,716
40,929,716
41,928,716
42,928,716
43,927,716
44,926,716
45,925,716
46,925,716
47,925,716
48,923,714
49,923,714
50,922,714
51,921,714
52,920,714
53,920,714
54,918,714
55,918,714
56,917,714
57,914,714
58,910,713
59,905,710
60,903,710
61,902,710
62,900,710
63,898,710
64,896,709
65,896,709
66,896,709
67,896,709
68,894,708
69,893,708
70,892,708
71,890,708
72,890,708
73,889,708
74,887,707
75,886,707
76,885,707
77,883,707
78,883,707
79,880,707
80,880,707
81,878,707
82,877,706
83,876,706
84,874,705
85,874,705
86,874,705
87,874,705
88,873,705
89,873,705
90,872,705
91,872,705
92,872,705
93,870,705
94,867,703
95,864,703
96,861,693
97,857,690
98,854,686
99,853,686
100,853,686
