EValue (1e-x),Nb genes,Nb reactions
1,256,329
2,256,329
3,256,329
4,256,329
5,256,329
6,256,329
7,256,329
8,256,329
9,256,329
10,256,329
11,256,329
12,256,329
13,255,329
14,255,329
15,255,329
16,255,329
17,255,329
18,255,329
19,255,329
20,255,329
21,255,329
22,255,329
23,255,329
24,255,329
25,255,329
26,255,329
27,255,329
28,255,329
29,255,329
30,255,329
31,255,329
32,254,329
33,254,329
34,254,329
35,254,329
36,254,329
37,254,329
38,254,329
39,254,329
40,254,329
41,254,329
42,253,329
43,253,329
44,253,329
45,253,329
46,253,329
47,253,329
48,253,329
49,253,329
50,253,329
51,252,328
52,252,328
53,252,328
54,252,328
55,252,328
56,252,328
57,252,328
58,252,328
59,251,328
60,251,328
61,251,328
62,251,328
63,251,328
64,251,328
65,251,328
66,251,328
67,251,328
68,251,328
69,251,328
70,251,328
71,251,328
72,251,328
73,249,328
74,249,328
75,249,328
76,249,328
77,249,328
78,249,328
79,249,328
80,248,328
81,248,328
82,248,328
83,248,328
84,248,328
85,248,328
86,248,328
87,248,328
88,248,328
89,248,328
90,248,328
91,248,328
92,248,328
93,247,328
94,247,328
95,246,328
96,246,328
97,246,328
98,246,328
99,246,328
100,246,328
