EValue (1e-x),Nb genes,Nb reactions
1,443,377
2,443,377
3,443,377
4,442,375
5,441,375
6,440,374
7,439,374
8,439,374
9,439,374
10,439,374
11,439,374
12,439,374
13,439,374
14,438,374
15,437,374
16,437,374
17,437,374
18,437,374
19,436,374
20,435,374
21,435,374
22,435,374
23,435,374
24,433,374
25,433,374
26,433,374
27,432,373
28,432,373
29,432,373
30,432,373
31,431,373
32,431,373
33,429,371
34,429,371
35,429,371
36,429,371
37,429,371
38,429,371
39,428,371
40,427,370
41,427,370
42,427,370
43,427,370
44,427,370
45,427,370
46,427,370
47,426,370
48,426,370
49,426,370
50,425,369
51,424,368
52,423,368
53,423,368
54,422,355
55,422,355
56,422,355
57,421,355
58,418,344
59,417,343
60,417,343
61,417,343
62,417,343
63,417,343
64,417,343
65,417,343
66,417,343
67,417,343
68,417,343
69,417,343
70,417,343
71,416,341
72,416,341
73,415,341
74,414,341
75,413,341
76,412,341
77,412,341
78,412,341
79,410,341
80,409,341
81,408,341
82,408,341
83,408,341
84,408,341
85,408,341
86,408,341
87,408,341
88,408,341
89,408,341
90,408,341
91,408,341
92,408,341
93,406,341
94,404,339
95,403,339
96,403,339
97,402,339
98,400,337
99,400,337
100,400,337
